season,episode,scriptName,imdbName,ethnicity
1,1,BOBBY,Chief Steward,white
1,1,CREWMAN,Chief Steward,white
1,1,PRESIDENT,President George W. Bush,white
1,1,DOCTOR,Captain Burger,white
1,1,DUCKY,Donald Mallard,white
1,1,TRAPP,Commander Ray Trapp,white
1,1,COMM,Commander Ray Trapp,white
1,1,KATE,Caitlin Todd,white
1,1,BAER,Agent William Baer,white
1,1,FEMALE MEDIC,Navy Medic,white
1,1,TONY,Anthony DiNozzo,white
1,1,GIBBS,Leroy Jethro Gibbs,white
1,1,SECURITY GUARD,Security Guard,white
1,1,DENNIS,Security Guard,white
1,1,CORONER,Dr. Elmo Poke,white
1,1,ELMO,Dr. Elmo Poke,white
1,1,FORNELL,T.C. Fornell,white
1,1,ABBY,Abby Sciuto,white
1,1,CAPTAIN,Captain Burger,white
1,1,FBI AGENT/DRIVER,FBI Agent,white
1,1,DRIVER,FBI Agent,white
1,1,LEONARD,Leonard Rush,white
1,1,KERRY,Major Timothy Kerry,white
1,1,MARINE,Major Timothy Kerry,white
1,1,SECRET SERVICE DIRECTOR,Director Mark,white
1,1,SECRET SERVICE,Secret Service Agent,white
1,1,COP,Secret Service Agent,white
1,1,NCIS DIRECTOR,N.C.I.S. Director Tom Morrow,white
1,1,DIRECTOR,N.C.I.S. Director Tom Morrow,white
1,1,FBI DIRECTOR,Director Charlie,white
1,1,MAN,Leonard Rush,white
1,1,GERALD,Gerald Jackson,black
1,1,COP,Homicide Detective Andy Kochofis,black
1,1,ANNIE,News Anchor,black
1,2,MRS. FUENTES,Rosemarie Fuentes,hispanic
1,2,WOMAN,Rosemarie Fuentes,hispanic
1,2,DAFELMAIR,Corporal Paul Dafelmair,white
1,2,KID,Billy Fuentes,hispanic
1,2,BILLY,Billy Fuentes,hispanic
1,2,FAUL,Captain Faul,white
1,2,CAPTAIN,Captain Faul,white
1,2,SARAH,Sarah Schaefer,white
1,2,GIRL,Sarah Schaefer,white
1,2,BUD,"Bud Roberts, Jr.",white
1,2,JIMMY,Jimmy,white
1,2,RAMSEY,Corporal Dave Ramsey,white
1,2,BRINKMAN,Corporal Paul Brinkman,white
1,2,MARINE,Marine Lance Corporal,white
1,3,BOBBY,Bobby Jackson,black
1,3,JACKSON,Bobby Jackson,black
1,3,DARRYL,Darryl Wilkins,black
1,3,NANCY,Nancy,white
1,3,TRUJILLO,Frank Trujillo,hispanic
1,3,FRANK,Frank Trujillo,hispanic
1,3,DAVE,Dave Simmons,white
1,3,JENNY,Jenny,white
1,3,MORROW,N.C.I.S. Director Tom Morrow,white
1,3,FONTAINE ON TV,Diane Fontaine,white
1,3,FONTAINE,Diane Fontaine,white
1,3,REPORTER,Diane Fontaine,white
1,3,LINN,Sergeant Linn,white
1,3,BRADSTONE,Army Captain Bradstone,white
1,3,FULLER,Agent Kent Fuller,white
1,3,CARRUTHERS,Agent Marcy Carruthers,hispanic
1,3,KEVIN,Basketball Player,black
1,3,SARAH,Sarah Fuentes,white
1,4,ENSIGN RAY,Ensign Ray,white
1,4,ROBBINS,Lieutenant Commander Robbins,white
1,4,CLERK,Exchange Clerk,hispanic
1,4,BRAD,Brad,hispanic
1,4,MORRIS,Chief Petty Officer Morris,white
1,4,ZUGER,Petty Officer Ronald Zuger,white
1,4,CARNAHAN,Petty Officer Second Class Carnahan,white
1,4,MACDONALD,Mrs. MacDonald,white
1,4,LISA,Lisa,white
1,4,KYLE,Kyle,white
1,4,RIVERS,Commander Rivers,white
1,4,CARUSO,Medical Corpsman,white
1,4,OFFICER,Petty Officer Murray,white
1,4,YOUNG,Lieutenant Reynolds,white
1,5,MARY,Mary Wiles,white
1,5,BEN,Ben,white
1,5,TROOPER LYNCH,State Trooper Dan Lynch,white
1,5,RANDY,Randy Wiles,white
1,5,AGENT OWENS,NCIS Agent Richard Owens,black
1,5,ERIN TONER,Erin Toner,white
1,5,HUNTER,Deer Hunter,white
1,5,FALLINI,Lt. Gregg Pallini,white


1 6 High Seas
Leroy Jethro Gibbs	-	white
Caitlin Todd	-	white
Anthony DiNozzo	-	white
Abby Sciuto	-	white
Donald Mallard	-	white
Agent Stanley Burley	-	white
Petty Officer First Class Bobby Wilkes	-	white
Petty Officer Second Class Gil Niles	-	black
Petty Officer Second Class Peter Shrewe	-	white
Commander Stovic	-	white
Corpsman Milano	-	white
Seaman	-	white
Flight Surgeon	-	white
Stovic's Aide	-	hispanic
Gerald Jackson	-	black
Air Boss	-	white
Lt. Norski	-	white
Crewman	-	white
Handler	-	black
Boyfriend	-	white
Petty Officer Gomez	-	asian
Clerk	-	black
HELO PILOT
BURLEY
SHREWE
WILKES
GIBBS AND BURLEY
GERALD
"HIGH SEAS"(SFX
SEAMAN
CORPSMAN
ARBRING
TONY
AIR BOSS
CLERK
JACKSON
XO
NILES
MILANO
DOCTOR
CREWMAN
ABBY
VOICE OVER P.A.
PATRON
KATE
GIBBS
DUCKY
NORSKI
CHIEF REYES
PILOT
GOMEZ
HANDLER
CREW CHIEF
SEAMAN ONE
GEAR TALKER



